"dossierid","title","oldhousenumber","descriptivenote","zu_kontrollieren","begruendung","location","kategorie","bemerkung"
HGB_1_219_007,"Teichgässlein Th. v. 3, 5, hinterer Theil","Th. v. 247, hinterer Theil","Seit 1700. Vorher siehe 3, 5. Bis 1720. Nacher siehe 3,5.",false,,POINT (2611563.652055286 1267920.7902013897),,
HGB_1_074_048,"Hebelstrasse Theil v. 2, 2tes Haus am Petersgraben","Theil v. 257, 2tes Haus am Petersgraben","Bis 1467. Nachher siehe Th. 2 Ecke, Th. v. 2, 1tes u. Th. v. 2, 2tes Haus a. Petersgraben vereinigt.",false,,POINT (2610953.8737232676 1267720.1225755527),genau gesetzt,Dossier ist Teil von Hebelstrasse.
HGB_1_179_017,Schafgässlein 8 / 6,"25 / 26",,false,,POINT (2611577.9633193417 1267758.962461177),,
HGB_1_155_035,"Untere Rebgasse Th. v. 10, Ecke","Th. v. 252, Ecke","Seit 1413. Vorher siehe Th. v. 10, Ecke u. Th. v. 10 am Teich, hinterer Theil u. Rappoltshof 4 vereinigt. Bis 1491. Nachher siehe Th. v. 10, Ecke u. Th. v. 10 am Teich, hinterer Theil u. Rappoltshof 4 vereinigt. Siehe Plan No. 5.",false,,POINT (2611593.925140099 1267967.3656781584),,
HGB_1_155_034,"Untere Rebgasse Th. v. 10, am Teich, hinterer Theil","Th. v. 252, am Teich, hinterer Theil","Seit 1413. Vorher siehe Th. v. 10, Ecke u. Th. v. 10, hinterer Theil u. Rappoltshof 4 vereinigt. Bis 1491. Nachher siehe Th. v. 10, Ecke u. Th. v. 10 am Teich, hinterer Theil u. Rappoltshof 4 vereinigt. Siehe Plan No. 5.",false,,POINT (2611593.925140099 1267967.3656781584),,
HGB_1_155_037,"Untere Rebgasse Th. v. 10, am Teich, vorderer Theil","Th. v. 252, am Teich, vorderer Theil",Seit 1363. Vorher siehe 10. Bis 1558. Nachher siehe 8. Siehe Plan No. 5.,false,,POINT (2611593.925140099 1267967.3656781584),,
HGB_1_155_033,"Untere Rebgasse Th. v. 10, hinterer Theil und Rappoltshof 4","Th. v. 252, Ecke u. Th. am Teich u. Rappoltshof 253","Seit 1363. Vorher siehe 10. Bis 1674. Nachher siehe Th. v. 10, Ecke u. Th. v. Teich, hinterer Theil u. Rappoltshof 4 getrennt. Siehe Plan No. 5.",false,,POINT (2611593.925140099 1267967.3656781584),,
HGB_1_148_025,"Petersgraben 18/22, Petersplatz 15","Petersgraben 256, Petersplatz 251",Seit 1573. Vorher siehe Petersgraben 18/22 u. Petersplatz 15 getrennt. Bis 1805. Nachher siehe Petersgraben 18/22 u. Petersplatz 15 getrennt.,false,,POINT (2610983.1461110977 1267694.3987944783),,
HGB_1_074_040,"Hebelstrasse 23, 25, 27","267 B, 268, 269 A","Seit 1671, vorher siehe 23/25 u. 27 getrennt. Bis 1726, nachher siehe 23, 25, 27 getrennt.",false,,POINT (2610764.465062038 1267804.304202766),genau gesetzt,Dossier ist Teil von Hebelstrasse.
HGB_1_074_037,"Hebelstrasse 23, 25","267 B, 268","Seit 1573. Vorher siehe 19-25 vereinigt. Bis 1671. Nachher siehe 23, 25, 27 vereinigt.",false,,POINT (2610764.250312989 1267804.089453717),genau gesetzt,Dossier ist Teil von Hebelstrasse.
HGB_1_074_039,"Hebelstrasse 23, 25, hinterer Theil","267 B, 268, hinterer Theil",Bis 1546. Nachher siehe 19-25 vereinigt.,false,,POINT (2610764.465062038 1267804.304202766),genau gesetzt,Dossier ist Teil von Hebelstrasse.
HGB_1_074_038,"Hebelstrasse 23, 25, vorderer Theil","267 B, 268, vorderer Theil","Bis 1546, nachher siehe 19-25 vereinigt.",false,,POINT (2610764.465062038 1267804.304202766),genau gesetzt,Dossier ist Teil von Hebelstrasse.
HGB_1_201_015,Spitalstrasse 9,"274 + A",,false,,POINT (2610898.6929373452 1268013.7872392004),,
HGB_1_155_024,"Untere Rebgasse Th. v. 23, Hinterer Th.","Th. v. 274, Hinterer Th.",Seit 1282. Vorher siehe Th. v. 23 am Teich. Bis 1343. Nachher siehe Th. v. 23 am Teich. Siehe Plan No. 4.,false,,POINT (2611545.410444353 1268011.0768822934),,
HGB_1_227_044,Webergasse 37,"281-282",Bis 1678. Nachher siehe Th. v. 37 neben 35 u. Th. v. 37 Mitte u. Ecke getrennt. Ab ca. 1830 wieder beide Nummern hier vereinigt.,false,,POINT (2611545.5806925385 1267976.9091134246),,
