nodeID1,nodeID2
HGB_1_120_041,HGB_1_120_040
HGB_1_120_042,HGB_1_120_040
HGB_1_131_016,HGB_1_010_085
HGB_1_010_083,HGB_1_131_015
HGB_1_085_032,HGB_1_122_031
HGB_1_058_097,HGB_1_058_095
HGB_1_058_094,HGB_1_058_095
HGB_1_066_071,HGB_1_066_072
HGB_1_066_071,HGB_1_066_070
HGB_1_159_024,HGB_1_159_023
HGB_1_159_025,HGB_1_159_023
HGB_1_002_033,HGB_1_002_034
HGB_1_002_035,HGB_1_002_034
HGB_1_002_060,HGB_1_002_055
HGB_1_002_058,HGB_1_002_055
HGB_1_010_103,HGB_1_010_102
HGB_1_010_104,HGB_1_010_102
HGB_1_024_102,HGB_1_024_101
HGB_1_058_160,HGB_1_058_157
HGB_1_024_103,HGB_1_024_101
HGB_1_024_038,HGB_1_024_037
HGB_1_024_056,HGB_1_024_052
HGB_1_024_055,HGB_1_024_052
HGB_1_024_039,HGB_1_024_037
HGB_1_024_079,HGB_1_024_078
HGB_1_050_060,HGB_1_050_059
HGB_1_058_132,HGB_1_058_128
HGB_1_050_061,HGB_1_050_059
HGB_1_058_184,HGB_1_058_183
HGB_1_058_185,HGB_1_058_183
HGB_1_062_017,HGB_1_062_016
HGB_1_063_047,HGB_1_063_043
HGB_1_063_046,HGB_1_063_043
HGB_1_062_018,HGB_1_062_016
HGB_1_074_029,HGB_1_074_027
HGB_1_074_030,HGB_1_074_029
HGB_1_078_030,HGB_1_078_031
HGB_1_078_032,HGB_1_078_031
HGB_1_078_054,HGB_1_078_055
HGB_1_078_057,HGB_1_078_055
HGB_1_079_026,HGB_1_079_025
HGB_1_079_027,HGB_1_079_025
HGB_1_079_034,HGB_1_079_033
HGB_1_079_043,HGB_1_079_044
HGB_1_085_036,HGB_1_085_031
HGB_1_091_043,HGB_1_091_040
HGB_1_091_042,HGB_1_091_040
HGB_1_091_065,HGB_1_091_064
HGB_1_091_066,HGB_1_091_064
HGB_1_091_069,HGB_1_091_071
HGB_1_091_072,HGB_1_091_071
HGB_1_091_073,HGB_1_091_076
HGB_1_091_076,HGB_1_091_072
HGB_1_091_075,HGB_1_091_076
HGB_1_091_078,HGB_1_091_080
HGB_1_091_165,HGB_1_091_164
HGB_1_092_011,HGB_1_092_012
HGB_1_092_013,HGB_1_092_012
HGB_1_092_016,HGB_1_092_015
HGB_1_092_018,HGB_1_092_017
HGB_1_093_011,HGB_1_093_010
HGB_1_093_011,HGB_1_093_013
HGB_1_096_009,HGB_1_096_011
HGB_1_093_016,HGB_1_093_019
HGB_1_093_015,HGB_1_093_019
HGB_1_093_014,HGB_1_093_019
HGB_1_096_010,HGB_1_096_011
HGB_1_096_012,HGB_1_096_011
HGB_1_113_030,HGB_1_113_031
HGB_1_113_030,HGB_1_113_033
HGB_1_113_058,HGB_1_113_057
HGB_1_113_058,HGB_1_113_060
HGB_1_116_041,HGB_1_116_039
HGB_1_122_025,HGB_1_122_024
HGB_1_122_027,HGB_1_122_024
HGB_1_122_043,HGB_1_122_042
HGB_1_133_015,HGB_1_133_009
HGB_1_133_014,HGB_1_133_009
HGB_1_122_051,HGB_1_122_045
HGB_1_137_048,HGB_1_137_047
HGB_1_137_048,HGB_1_137_050
HGB_1_137_049,HGB_1_137_048
HGB_1_137_078,HGB_1_137_077
HGB_1_137_080,HGB_1_137_077
HGB_1_137_079,HGB_1_137_077
HGB_1_147_017,HGB_1_147_018
HGB_1_147_028,HGB_1_147_027
HGB_1_147_062,HGB_1_147_059
HGB_1_147_062,HGB_1_147_063
HGB_1_147_062,HGB_1_147_066
HGB_1_147_062,HGB_1_147_065
HGB_1_147_062,HGB_1_147_064
HGB_1_148_030,HGB_1_148_029
HGB_1_148_031,HGB_1_148_029
HGB_1_154_051,HGB_1_154_050
HGB_1_154_051,HGB_1_154_052
HGB_1_155_023,HGB_1_155_026
HGB_1_155_028,HGB_1_155_026
HGB_1_155_042,HGB_1_155_041
HGB_1_159_061,HGB_1_159_060
HGB_1_160_018,HGB_1_160_020
HGB_1_161_037,HGB_1_161_036
HGB_1_161_041,HGB_1_161_036
HGB_1_161_038,HGB_1_161_036
HGB_1_168_012,HGB_1_168_013
HGB_1_168_012,HGB_1_168_014
HGB_1_168_027,HGB_1_168_026
HGB_1_168_042,HGB_1_168_046
HGB_1_168_044,HGB_1_168_042
HGB_1_168_045,HGB_1_168_042
HGB_1_168_047,HGB_1_168_046
HGB_1_168_051,HGB_1_168_047
HGB_1_168_050,HGB_1_168_047
HGB_1_168_054,HGB_1_168_055
HGB_1_168_057,HGB_1_168_054
HGB_1_168_054,HGB_1_168_056
HGB_1_170_017,HGB_1_170_018
HGB_1_170_051,HGB_1_170_047
HGB_1_170_049,HGB_1_170_047
HGB_1_172_009,HGB_1_172_010
HGB_1_172_021,HGB_1_172_020
HGB_1_172_023,HGB_1_172_020
HGB_1_177_012,HGB_1_177_011
HGB_1_177_014,HGB_1_177_011
HGB_1_182_008,HGB_1_182_010
HGB_1_182_011,HGB_1_182_010
HGB_1_189_013,HGB_1_189_012
HGB_1_189_026,HGB_1_189_029
HGB_1_189_014,HGB_1_189_012
HGB_1_189_027,HGB_1_189_026
HGB_1_189_028,HGB_1_189_026
HGB_1_189_032,HGB_1_189_031
HGB_1_189_056,HGB_1_189_057
HGB_1_194_043,HGB_1_194_044
HGB_1_194_043,HGB_1_194_045
HGB_1_197_020,HGB_1_197_017
HGB_1_197_019,HGB_1_197_017
HGB_1_204_038,HGB_1_204_035
HGB_1_204_023,HGB_1_204_020
HGB_1_204_022,HGB_1_204_020
HGB_1_204_039,HGB_1_204_035
HGB_1_217_018,HGB_1_217_022
HGB_1_218_015,HGB_1_218_014
HGB_1_218_016,HGB_1_218_014
HGB_1_224_009,HGB_1_224_008
HGB_1_225_014,HGB_1_225_013
HGB_1_225_015,HGB_1_225_013
HGB_1_225_020,HGB_1_225_019
HGB_1_227_030,HGB_1_227_029
HGB_1_227_061,HGB_1_227_062
HGB_1_227_079,HGB_1_227_078
HGB_1_229_015,HGB_1_229_014
HGB_1_229_015,HGB_1_229_017
HGB_1_058_161,HGB_1_058_157
HGB_1_113_059,HGB_1_113_062
HGB_1_113_060,HGB_1_113_062
HGB_1_078_055,HGB_1_078_056
HGB_1_078_055,HGB_1_078_053
HGB_1_229_045,HGB_1_229_044
HGB_1_229_042,HGB_1_229_044
HGB_1_229_016,HGB_1_229_018
HGB_1_229_016,HGB_1_229_015
HGB_1_227_031,HGB_1_227_030
HGB_1_225_068,HGB_1_225_067
HGB_1_225_068,HGB_1_225_069
HGB_1_225_015,HGB_1_225_016
HGB_1_225_016,HGB_1_225_014
HGB_1_222_017,HGB_1_222_018
HGB_1_222_018,HGB_1_222_019
HGB_1_222_018,HGB_1_222_016
HGB_1_146_058,HGB_1_146_056
HGB_1_227_064,HGB_1_227_065
HGB_1_145_032,HGB_1_145_031
HGB_1_227_064,HGB_1_227_063
HGB_1_145_032,HGB_1_227_064
HGB_1_225_066,HGB_1_225_068
HGB_1_225_066,HGB_1_225_065
HGB_1_225_021,HGB_1_225_019
HGB_1_222_020,HGB_1_222_018
HGB_1_218_019,HGB_1_218_016
HGB_1_218_019,HGB_1_218_017
